timepoint,population,n_responders,n_nonresponders,median_responders,median_nonresponders,mean_responders,mean_nonresponders,effect_size_r,mannwhitney_u,p_value,fdr_p,fdr_significant,bonferroni_p,bonferroni_significant
0,b_cell,331,325,9.785,9.7582,10.09,9.77,-0.027,55244.5,0.5484035572786878,0.8851654237883753,False,1.0,False
0,cd4_t_cell,331,325,29.6338,29.5305,29.98,29.83,-0.012,54414.5,0.7962905866672978,0.8851654237883753,False,1.0,False
0,cd8_t_cell,331,325,24.3957,24.601,24.82,25.0,0.029,52202.5,0.5138228421597713,0.8851654237883753,False,1.0,False
0,monocyte,331,325,19.6056,20.286,19.9,20.22,0.056,50754.5,0.21146455611914672,0.8851654237883753,False,1.0,False
0,nk_cell,331,325,14.9973,14.8905,15.22,15.17,0.007,53436.5,0.8851654237883753,0.8851654237883753,False,1.0,False
7,b_cell,331,325,9.2334,9.9657,9.75,10.11,0.066,50240.5,0.1439212738576043,0.23986878976267387,False,0.7196063692880216,False
7,cd4_t_cell,331,325,30.4457,29.5476,30.75,29.72,-0.098,59063.5,0.029721546848074754,0.14860773424037377,False,0.14860773424037377,False
7,cd8_t_cell,331,325,24.6964,24.7727,24.8,24.9,0.021,52644.0,0.637658094967041,0.637658094967041,False,1.0,False
7,monocyte,331,325,19.5969,20.0321,20.05,20.18,0.032,52089.0,0.48413674295382414,0.6051709286922802,False,1.0,False
7,nk_cell,331,325,14.4198,14.7959,14.66,15.09,0.067,50185.0,0.13775265100816853,0.23986878976267387,False,0.6887632550408427,False
14,b_cell,331,325,9.1073,9.837,9.56,10.11,0.11,47848.0,0.014397962222690842,0.0719898111134542,False,0.0719898111134542,False
14,cd4_t_cell,331,325,30.7909,30.0699,30.89,30.16,-0.08,58102.5,0.07543681816877616,0.18859204542194039,False,0.3771840908438808,False
14,cd8_t_cell,331,325,25.0775,24.5581,25.03,24.93,-0.015,54590.0,0.7410479625267354,0.7410479625267354,False,1.0,False
14,monocyte,331,325,19.6233,19.7496,19.87,19.85,0.021,52675.5,0.6469552720520044,0.7410479625267354,False,1.0,False
14,nk_cell,331,325,14.3528,14.6534,14.65,14.96,0.045,51347.5,0.3147998725473644,0.5246664542456074,False,1.0,False
